2.75,411.00,0
3.90,615.00,1
3.46,738.00,1
3.20,1060.00,1
2.31,1504.00,1
2.31,773.00,0
2.12,1375.00,0
3.73,1109.00,1
3.20,865.00,1
3.42,1512.00,1
2.04,888.00,0
3.94,446.00,1
3.66,1177.00,1
2.42,1439.00,1
2.36,1110.00,0
2.37,800.00,0
2.61,1380.00,1
3.05,1509.00,1
2.86,649.00,1
2.58,790.00,1
3.22,734.00,1
2.28,1028.00,1
2.58,536.00,0
2.73,1282.00,1
2.91,1087.00,1
3.57,1226.00,1
2.40,1126.00,1
3.03,993.00,1
3.18,1389.00,1
2.09,771.00,0
3.22,1334.00,1
2.34,1394.00,1
2.13,801.00,1
3.90,1014.00,1
3.93,1582.00,1
3.62,1575.00,1
2.61,1394.00,1
2.20,1019.00,1
3.37,587.00,1
2.88,1521.00,1
2.24,530.00,0
2.99,1204.00,1
2.07,1594.00,1
3.82,1335.00,1
2.52,1385.00,1
3.33,582.00,0
2.62,1382.00,1
3.04,763.00,1
3.09,438.00,0
2.37,896.00,0
3.94,1381.00,1
3.55,1320.00,1
3.88,1121.00,1
3.79,1584.00,1
3.20,415.00,0
3.84,892.00,1
2.18,1531.00,1
2.39,1293.00,1
2.09,710.00,1
2.65,1138.00,1
2.78,1593.00,1
2.54,945.00,1
3.66,813.00,1
2.71,650.00,0
2.56,1158.00,1
3.09,1564.00,1
2.28,1462.00,1
3.60,1213.00,1
2.15,428.00,0
3.97,1357.00,1
3.54,876.00,1
2.40,717.00,1
2.01,644.00,0
3.63,1147.00,1
3.41,1096.00,1
3.46,671.00,1
3.54,776.00,1
2.15,665.00,0
2.72,1325.00,1
2.23,1320.00,1
3.73,739.00,1
3.25,788.00,1
2.66,976.00,1
2.13,402.00,0
2.62,1565.00,1
2.65,775.00,0
3.46,723.00,1
3.28,545.00,1
3.77,692.00,1
2.94,831.00,1
2.24,1104.00,1
3.43,1348.00,1
3.52,984.00,1
3.12,798.00,1
3.54,1216.00,1
2.99,1363.00,1
3.05,1563.00,1
2.86,586.00,0
